acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13663.0,-600.0,-8608.0,-0.11,-0.04,0.77
13709.0,-605.0,-8676.0,-0.11,-0.04,0.76
13697.0,-638.0,-8651.0,-0.11,-0.05,0.77
13800.0,-505.0,-8543.0,-0.11,-0.04,0.77
13631.0,-378.0,-8730.0,-0.12,-0.03,0.76
13652.0,-372.0,-8727.0,-0.11,-0.03,0.76
13753.0,-457.0,-8615.0,-0.11,-0.04,0.77
13727.0,-355.0,-8592.0,-0.11,-0.03,0.77
13808.0,-262.0,-8540.0,-0.11,-0.02,0.77
13772.0,-335.0,-8548.0,-0.11,-0.03,0.77
13679.0,-343.0,-8708.0,-0.11,-0.03,0.76
13702.0,-221.0,-8651.0,-0.11,-0.02,0.77
