acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13728.0,-211.0,-8674.0,-0.02,0.01,0.97
13721.0,-177.0,-8628.0,-0.02,0.01,0.97
13783.0,-223.0,-8540.0,-0.01,0.01,0.98
13789.0,-186.0,-8527.0,-0.01,0.01,0.98
13784.0,-238.0,-8545.0,-0.01,0.01,0.98
13842.0,-193.0,-8429.0,-0.01,0.01,0.99
13852.0,-193.0,-8445.0,-0.01,0.01,0.98
13915.0,-204.0,-8356.0,-0.01,0.01,0.99
13936.0,-190.0,-8305.0,-0.01,0.01,0.99
13915.0,-176.0,-8319.0,-0.01,0.01,0.99
13916.0,-188.0,-8310.0,-0.01,0.01,0.99
13462.0,1304.0,-8909.0,-0.03,0.1,0.96
9501.0,2355.0,-12677.0,-0.28,0.17,0.73
6141.0,207.0,-15022.0,-0.48,0.03,0.58
6336.0,280.0,-14979.0,-0.47,0.04,0.59
6238.0,241.0,-14804.0,-0.48,0.04,0.6
6238.0,388.0,-14937.0,-0.48,0.05,0.59
6205.0,641.0,-14845.0,-0.48,0.06,0.59
