acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
8309.0,995.0,-13758.0,-0.35,0.08,0.66
8645.0,845.0,-13679.0,-0.33,0.07,0.67
8839.0,579.0,-13471.0,-0.32,0.06,0.68
9128.0,474.0,-13313.0,-0.3,0.05,0.69
9208.0,370.0,-13285.0,-0.29,0.04,0.69
9235.0,429.0,-13151.0,-0.29,0.05,0.7
9359.0,394.0,-13098.0,-0.28,0.05,0.7
9432.0,422.0,-13075.0,-0.28,0.05,0.7
9441.0,338.0,-13065.0,-0.28,0.04,0.7
9521.0,412.0,-13127.0,-0.27,0.05,0.7
9448.0,-172.0,-13234.0,-0.28,0.01,0.69
9342.0,1038.0,-12865.0,-0.29,0.08,0.71
8942.0,1149.0,-14547.0,-0.31,0.09,0.61
2073.0,10146.0,-10810.0,-0.73,0.64,0.84
1123.0,11587.0,-11133.0,-0.79,0.73,0.82
2899.0,9199.0,-13360.0,-0.68,0.58,0.68
-1255.0,14019.0,-7129.0,-0.93,0.88,1.06
