acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-2779.0,15012.0,-4882.0,-0.88,0.69,0.05
-1377.0,14096.0,-5898.0,-0.8,0.64,-0.02
-3416.0,13802.0,-7293.0,-0.92,0.62,-0.1
-3276.0,14106.0,-6436.0,-0.91,0.64,-0.05
-3466.0,14332.0,-7191.0,-0.93,0.65,-0.1
-1747.0,16557.0,-3562.0,-0.82,0.79,0.13
-1409.0,14769.0,-4899.0,-0.8,0.68,0.04
-1515.0,13882.0,-4981.0,-0.81,0.62,0.04
-1885.0,14439.0,-4121.0,-0.83,0.66,0.09
-2850.0,16276.0,-4591.0,-0.89,0.77,0.06
-3376.0,15274.0,-4071.0,-0.92,0.71,0.1
14593.0,92.0,-7134.0,0.08,-0.01,1.13
13624.0,300.0,-8740.0,0.02,-0.0,1.03
12967.0,285.0,-9727.0,-0.02,-0.0,0.97
13101.0,6.0,-9556.0,-0.01,-0.02,0.98
13626.0,-109.0,-8777.0,0.02,-0.03,1.03
13979.0,-174.0,-8256.0,0.04,-0.03,1.06
14242.0,-207.0,-7790.0,0.06,-0.03,1.09
14260.0,-318.0,-7748.0,0.06,-0.04,1.09
