acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
11066.0,-5307.0,-12411.0,-0.21,-0.34,0.49
9715.0,-5461.0,-11673.0,-0.3,-0.35,0.53
9744.0,-5387.0,-11764.0,-0.29,-0.35,0.52
9981.0,-5437.0,-11627.0,-0.28,-0.35,0.53
10098.0,-5544.0,-11683.0,-0.27,-0.36,0.53
10094.0,-5419.0,-11624.0,-0.27,-0.35,0.53
10243.0,-5418.0,-11569.0,-0.26,-0.35,0.54
10334.0,-5409.0,-11583.0,-0.26,-0.35,0.54
10347.0,-5303.0,-11540.0,-0.26,-0.34,0.54
10064.0,-5208.0,-11700.0,-0.28,-0.34,0.53
10266.0,-5337.0,-11511.0,-0.26,-0.35,0.54
10213.0,-5257.0,-11515.0,-0.27,-0.34,0.54
10299.0,-5264.0,-11635.0,-0.26,-0.34,0.53
10493.0,-5375.0,-11604.0,-0.25,-0.35,0.53
10289.0,-5394.0,-11435.0,-0.26,-0.35,0.54
10048.0,-5846.0,-11530.0,-0.28,-0.38,0.54
10027.0,-7286.0,-11469.0,-0.28,-0.46,0.54
9670.0,-4693.0,-12050.0,-0.3,-0.31,0.51
9883.0,-4087.0,-12551.0,-0.29,-0.27,0.48
9666.0,-4442.0,-12365.0,-0.3,-0.29,0.49
9442.0,-4784.0,-12466.0,-0.31,-0.31,0.48
9443.0,-4525.0,-12468.0,-0.31,-0.3,0.48
9503.0,-4474.0,-12374.0,-0.31,-0.29,0.49
9611.0,-4285.0,-12436.0,-0.3,-0.28,0.48
9554.0,-4283.0,-12421.0,-0.31,-0.28,0.48
9570.0,-4194.0,-12555.0,-0.31,-0.28,0.48
9787.0,-4160.0,-12345.0,-0.29,-0.27,0.49
9768.0,-3769.0,-12445.0,-0.29,-0.25,0.48
9938.0,-4127.0,-12435.0,-0.28,-0.27,0.48
9831.0,-3908.0,-12369.0,-0.29,-0.26,0.49
9641.0,-4247.0,-12385.0,-0.3,-0.28,0.49
9538.0,-4217.0,-12425.0,-0.31,-0.28,0.48
9550.0,-4115.0,-12328.0,-0.31,-0.27,0.49
9740.0,-3975.0,-12470.0,-0.29,-0.26,0.48
9976.0,-3848.0,-12426.0,-0.28,-0.25,0.48
9764.0,-3968.0,-12215.0,-0.29,-0.26,0.5
10077.0,-5929.0,-12147.0,-0.27,-0.38,0.5
10878.0,-4034.0,-11584.0,-0.23,-0.27,0.54
