acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13783.0,-952.0,-8482.0,-0.08,-0.06,0.85
13858.0,-1485.0,-7714.0,-0.07,-0.09,0.9
14176.0,-2330.0,-7681.0,-0.05,-0.14,0.9
14445.0,-1399.0,-7297.0,-0.04,-0.08,0.93
14676.0,-1648.0,-7020.0,-0.02,-0.1,0.94
14721.0,-1570.0,-6820.0,-0.02,-0.1,0.96
14703.0,-1569.0,-6723.0,-0.02,-0.1,0.96
14776.0,-1626.0,-6654.0,-0.02,-0.1,0.97
14858.0,-1668.0,-6610.0,-0.01,-0.1,0.97
14792.0,-1586.0,-6597.0,-0.02,-0.1,0.97
14791.0,-1659.0,-6592.0,-0.02,-0.1,0.97
14599.0,-1264.0,-6929.0,-0.03,-0.08,0.95
14581.0,-1174.0,-7019.0,-0.03,-0.07,0.94
14671.0,-1236.0,-6808.0,-0.02,-0.07,0.96
14364.0,-546.0,-7349.0,-0.04,-0.03,0.92
14772.0,-744.0,-7353.0,-0.02,-0.04,0.92
14650.0,-722.0,-7045.0,-0.02,-0.04,0.94
14640.0,-776.0,-6995.0,-0.03,-0.05,0.94
14624.0,-688.0,-7068.0,-0.03,-0.04,0.94
14632.0,-781.0,-7110.0,-0.03,-0.05,0.94
15019.0,-1404.0,-6958.0,-0.0,-0.09,0.95
14812.0,-1464.0,-5854.0,-0.01,-0.09,1.01
15175.0,-2183.0,-5574.0,0.01,-0.13,1.03
15300.0,-2058.0,-5327.0,0.02,-0.13,1.05
