acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-4825.0,14536.0,-2211.0,-1.01,0.66,0.21
-4233.0,14856.0,-4379.0,-0.97,0.68,0.08
-4383.0,13424.0,-4002.0,-0.98,0.6,0.1
-3901.0,15237.0,-4074.0,-0.95,0.71,0.1
-2428.0,15064.0,-4262.0,-0.86,0.7,0.08
-1824.0,15234.0,-4409.0,-0.83,0.71,0.07
-1845.0,15340.0,-3873.0,-0.83,0.71,0.11
-4764.0,14871.0,-3793.0,-1.01,0.68,0.11
-2996.0,15272.0,-3399.0,-0.9,0.71,0.14
-3830.0,14557.0,-3624.0,-0.95,0.67,0.12
613.0,16318.0,-5138.0,-0.68,0.77,0.03
-5207.0,12364.0,-4887.0,-1.03,0.53,0.05
-1267.0,14845.0,-5217.0,-0.79,0.68,0.03
