acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13033.0,-522.0,-9604.0,-0.12,-0.03,0.79
12850.0,-389.0,-9843.0,-0.13,-0.02,0.77
12809.0,-315.0,-9901.0,-0.14,-0.02,0.77
12805.0,-280.0,-9869.0,-0.14,-0.02,0.77
12848.0,-353.0,-9827.0,-0.13,-0.02,0.77
12222.0,-121.0,-10078.0,-0.17,-0.01,0.76
12209.0,-471.0,-10574.0,-0.17,-0.03,0.73
12212.0,-616.0,-10580.0,-0.17,-0.04,0.73
12315.0,-782.0,-10503.0,-0.17,-0.05,0.73
12219.0,-434.0,-10437.0,-0.17,-0.03,0.73
11150.0,-215.0,-11678.0,-0.24,-0.01,0.66
11172.0,-339.0,-11761.0,-0.24,-0.02,0.65
11683.0,-483.0,-11120.0,-0.21,-0.03,0.69
11759.0,-506.0,-11153.0,-0.2,-0.03,0.69
11752.0,-336.0,-11106.0,-0.2,-0.02,0.69
11809.0,-325.0,-11057.0,-0.2,-0.02,0.7
11867.0,-580.0,-11145.0,-0.19,-0.03,0.69
11832.0,-434.0,-11002.0,-0.2,-0.03,0.7
11815.0,-355.0,-11034.0,-0.2,-0.02,0.7
11855.0,-433.0,-11007.0,-0.2,-0.03,0.7
11830.0,-449.0,-10978.0,-0.2,-0.03,0.7
11858.0,-356.0,-11008.0,-0.2,-0.02,0.7
11897.0,-420.0,-10938.0,-0.19,-0.03,0.7
11939.0,-338.0,-10935.0,-0.19,-0.02,0.7
11887.0,-443.0,-10903.0,-0.19,-0.03,0.71
