acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
14528.0,-33.0,-7251.0,-0.03,-0.01,0.93
14521.0,-8.0,-7232.0,-0.03,-0.0,0.93
14150.0,21.0,-7816.0,-0.05,-0.0,0.9
13408.0,670.0,-8908.0,-0.1,0.04,0.83
13604.0,19.0,-8876.0,-0.09,-0.0,0.83
13381.0,119.0,-9057.0,-0.1,0.0,0.82
13107.0,306.0,-9456.0,-0.12,0.02,0.8
12856.0,650.0,-9972.0,-0.13,0.04,0.77
12428.0,863.0,-10186.0,-0.16,0.05,0.75
12497.0,727.0,-10162.0,-0.16,0.04,0.75
12548.0,832.0,-10210.0,-0.15,0.05,0.75
12319.0,676.0,-10395.0,-0.17,0.04,0.74
12273.0,805.0,-10598.0,-0.17,0.05,0.73
12277.0,946.0,-10499.0,-0.17,0.05,0.73
