acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15069.0,110.0,-6297.0,0.0,0.01,0.99
14446.0,228.0,-7338.0,-0.04,0.01,0.93
14365.0,257.0,-7461.0,-0.04,0.02,0.92
14446.0,328.0,-7359.0,-0.04,0.02,0.93
14507.0,265.0,-7234.0,-0.03,0.02,0.93
14547.0,288.0,-7174.0,-0.03,0.02,0.94
14548.0,219.0,-7171.0,-0.03,0.01,0.94
14529.0,252.0,-7109.0,-0.03,0.01,0.94
14530.0,306.0,-7142.0,-0.03,0.02,0.94
14534.0,473.0,-7112.0,-0.03,0.03,0.94
14523.0,568.0,-7143.0,-0.03,0.03,0.94
14550.0,546.0,-7171.0,-0.03,0.03,0.94
14611.0,493.0,-7016.0,-0.03,0.03,0.95
14676.0,360.0,-6866.0,-0.02,0.02,0.96
14603.0,413.0,-6941.0,-0.03,0.02,0.95
14619.0,476.0,-6942.0,-0.03,0.03,0.95
14613.0,468.0,-6951.0,-0.03,0.03,0.95
14618.0,546.0,-7035.0,-0.03,0.03,0.95
14186.0,861.0,-7444.0,-0.05,0.05,0.92
14111.0,658.0,-7800.0,-0.06,0.04,0.9
13966.0,732.0,-8035.0,-0.07,0.04,0.88
14073.0,887.0,-7999.0,-0.06,0.05,0.89
13969.0,500.0,-8280.0,-0.07,0.03,0.87
13774.0,315.0,-8454.0,-0.08,0.02,0.86
13728.0,372.0,-8548.0,-0.08,0.02,0.85
13750.0,401.0,-8599.0,-0.08,0.02,0.85
13702.0,388.0,-8580.0,-0.08,0.02,0.85
13666.0,449.0,-8633.0,-0.08,0.03,0.85
13704.0,434.0,-8631.0,-0.08,0.03,0.85
13696.0,482.0,-8621.0,-0.08,0.03,0.85
13692.0,515.0,-8608.0,-0.08,0.03,0.85
13668.0,514.0,-8651.0,-0.08,0.03,0.85
