acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
15294.0,-1693.0,-5289.0,0.04,-0.12,0.92
15236.0,-1693.0,-5484.0,0.04,-0.12,0.91
15242.0,-1671.0,-5499.0,0.04,-0.12,0.91
15221.0,-1645.0,-5539.0,0.04,-0.12,0.9
15238.0,-1636.0,-5521.0,0.04,-0.12,0.91
15232.0,-1646.0,-5527.0,0.04,-0.12,0.91
15231.0,-1667.0,-5528.0,0.04,-0.12,0.91
15228.0,-1665.0,-5549.0,0.04,-0.12,0.9
15251.0,-1650.0,-5504.0,0.04,-0.12,0.91
15261.0,-1683.0,-5519.0,0.04,-0.12,0.91
15294.0,-1701.0,-5408.0,0.04,-0.12,0.91
15241.0,-1750.0,-5465.0,0.04,-0.13,0.91
